NomeAzienda;Citta;Provincia;Fatturato;DataIndagine
GESCO SOCIETA' COOPERATIVA AGRICOLA IN BREVE;Cesena;FC;€ 1'749'047'477;2023-05-18
AVI.COOP SOCIETA' COOPERATIVA AGRICOLA IN BRE;Cesena;FC;€ 648'821'023;2023-05-18
TECHNOGYM S.P.A.;Cesena;FC;€ 425'431'000;2023-05-18
OROGEL SOCIETA' COOPERATIVA AGRICOLA IN SIGLA;Cesena;FC;€ 289'096'498;2023-05-18
ENERGIA CORRENTE S.R.L.;Cesena;FC;€ 247'820'527;2023-05-18
APOFRUIT ITALIA - SOC. COOP. AGRICOLA;Cesena;FC;€ 240'257'473;2023-05-18
CRE CONSORZIO PER LE RISORSE ENERGETICHE S.C.;Cesena;FC;€ 231'075'870;2023-05-18
EASYTRIP S.P.A.;Cesena;FC;€ 172'467'054;2023-05-18
MANGIMIFICIO ROMAGNOLO S.R.L.;Cesena;FC;€ 161'207'185;2023-05-18
CON.TIR SOCIETA' CONSORTILE A RESPONSABILITA';Cesena;FC;€ 139'571'844;2023-05-18
PLT PUREGREEN S.P.A.;Cesena;FC;€ 123'234'581;2023-05-18
EUR.O.P. FRUIT SOC. COOP.;Cesena;FC;€ 112'631'779;2023-05-18
SOILMEC - SOCIETA' PER AZIONI;Cesena;FC;€ 104'866'584;2023-05-18
FAST ROAD S.R.L.;Cesena;FC;€ 103'161'781;2023-05-18
IDROEXPERT S.P.A.;Cesena;FC;€ 96'709'718;2023-05-18
TREVI - SOCIETA' PER AZIONI (IN FORMA ABBREVI;Cesena;FC;€ 96'042'644;2023-05-18
PARESA S.P.A.;Cesena;FC;€ 93'444'121;2023-05-18
NETPACK - S.P.A.;Cesena;FC;€ 84'545'284;2023-05-18
UPL ITALIA S.R.L.;Cesena;FC;€ 83'088'041;2023-05-18
RIPRO-COOP SOCIETA' COOPERATIVA AGRICOLA;Cesena;FC;€ 82'764'419;2023-05-18
FORMULA AMBIENTE S.P.A.;Cesena;FC;€ 82'211'680;2023-05-18
REPA ITALIA S.R.L.;Cesena;FC;€ 81'624'363;2023-05-18
HERA LUCE S.R.L.;Cesena;FC;€ 67'538'000;2023-05-18
CAMAC ARTI GRAFICHE S.R.L.;Cesena;FC;€ 64'794'203;2023-05-18
GRILLO S.P.A.;Cesena;FC;€ 59'889'270;2023-05-18
SOCIETA' AGRICOLA INTERZOO S.R.L.;Cesena;FC;€ 59'809'193;2023-05-18
NAV-SYSTEM S.P.A.;Cesena;FC;€ 57'515'532;2023-05-18
SOCIETA' AGRICOLA RIPRO-AVICOLA S.R.L.;Cesena;FC;€ 54'168'924;2023-05-18
SOCIETA' AGRICOLA SANTAMARIA S.R.L.;Cesena;FC;€ 53'821'117;2023-05-18
FERRI - S.P.A;Cesena;FC;€ 53'084'144;2023-05-18
CONSORZIO CFA SOCIETA' COOPERATIVA SOCIALE;Cesena;FC;€ 52'584'144;2023-05-18
PROMAU S.R.L.;Cesena;FC;€ 52'058'510;2023-05-18
PLT ENGINEERING S.R.L.;Cesena;FC;€ 51'924'224;2023-05-18
PLT ENGINEERING S.R.L.;Cesena;FC;€ 51'924'224;2023-05-18
COOPERATIVA PRODUTTORI ROMAGNOLI AVICOLI - CO;Cesena;FC;€ 51'557'096;2023-05-18
JINGOLD S.P.A.;Cesena;FC;€ 51'404'076;2023-05-18
