NomeAzienda;Citta;Provincia;Fatturato;DataIndagine
UNIEURO S.P.A.;Forli';FC;€ 2'659'283'000;2023-05-18
COMMERCIANTI INDIPENDENTI ASSOCIATI - SOCIETA;Forli';FC;€ 1'642'599'369;2023-05-18
CELANESE PRODUCTION ITALY S.R.L.;Forli';FC;€ 192'932'731;2023-05-18
OLITALIA S.R.L. ABBREV. ANCHE IN OLIT S.R.L.;Forli';FC;€ 181'380'034;2023-05-18
ELFI S.P.A;Forli';FC;€ 159'773'000;2023-05-18
ELFI S.P.A;Forli';FC;€ 159'773'000;2023-05-18
COROFAR DISTRIBUZIONE S.R.L.;Forli';FC;€ 131'543'000;2023-05-18
MGM MONDO DEL VINO S.P.A. SIGLABILE MGM S.P.A;Forli';FC;€ 112'556'608;2023-05-18
CLUB HOUSE ITALIA SPA;Forli';FC;€ 102'153'083;2023-05-18
FORMULA SERVIZI SOCIETA' COOPERATIVA;Forli';FC;€ 83'151'235;2023-05-18
KWS ITALIA - SOCIETA' PER AZIONI;Forli';FC;€ 81'534'130;2023-05-18
B & T S.P.A.;Forli';FC;€ 74'330'828;2023-05-18
CANTIERE DEL PARDO S.P.A.;Forli';FC;€ 71'384'389;2023-05-18
VEM SISTEMI S.P.A.;Forli';FC;€ 61'584'038;2023-05-18
CONSORZIO FRA COOPERATIVE DI PRODUZIONE E LAV;Forli';FC;€ 60'605'387;2023-05-18
DUE TIGLI S.P.A.;Forli';FC;€ 54'219'576;2023-05-18
S.G.R. MARKET S.R.L.;Forli';FC;€ 53'636'553;2023-05-18
CDP GROUP S.P.A.;Forli';FC;€ 48'485'176;2023-05-18
ROMAGNA ACQUE - SOCIETA' DELLE FONTI S.P.A.;Forli';FC;€ 46'626'245;2023-05-18
PIOLANTI TRUCK S.R.L.;Forli';FC;€ 43'624'364;2023-05-18
ZANNONI S.R.L.;Forli';FC;€ 43'495'973;2023-05-18
EFFELLE S.R.L.;Forli';FC;€ 39'735'873;2023-05-18
GIULIANI ARREDAMENTI SRL;Forli';FC;€ 37'601'407;2023-05-18
PIOLANTI S.R.L.;Forli';FC;€ 37'040'065;2023-05-18
P.I. 2000 S.R.L.;Forli';FC;€ 36'924'875;2023-05-18
CANTINA FORLI' PREDAPPIO SOCIETA' AGRICOLA CO;Forli';FC;€ 36'772'567;2023-05-18
